From, To
 Initialisation Vector ,IV
 Initialization Vector ,IV
 Initialization Vectors ,IV
 Internet Exchange Architecture ,IXA
 Jonah Directory Library ,JDL
 Just Fast Keying ,JFK
 Java Pathfinder ,JPF
 Javascript Object Notation ,JSON
 Java Virtual-Machine ,JVM
 Json Web Encryption ,JWE
 Kerberized Credential Translator ,KCT
 Keyed Database Search ,KDS
 K-Nearest Neighbors ,KNN
 Kreuter ,KSS
 Lquid Crystal Display ,LCD
 Linear Discriminant Analysis ,LDA
 Lumeta Firewall Analyzer ,LFA
 Linear-Feedback Shift-Register ,LFSR
 Logical Key Hierarchy ,LKH
 Lucent Managed Firewall ,LMF
 Lights-Out Management ,LOM
 Low Pin Count ,LPC
 Long-Range Acoustic Device ,LRAD
 Least-Significant Bit ,LSB
 Least-Significant Byte ,LSB
 Linear Secret-Sharing Schemes ,LSSS
 Long Short-Term Memory ,LSTM
 Local Worst Offender List ,LWOL
 Malware Download Defense ,MDD
 Micro-Electro-Mechanical Systems ,MEMS
 Multi-Flow Attack ,MFA
 Mel-Frequency Cepstral Coefficients ,MFCC
 Magnetic Force Microscopy ,MFM
 Mozilla Foundation Security Advisories ,MFSA
 Minimum-Sized Influential Node Set ,MINS
 Moving-Image Object Recognition ,MIOR
 Man-In-The-Browser ,MITB
 Man-In The Middle ,MITM
 Man-In-The-Middle ,MITM
 Android Middleware Layer ,MMAC
 Markov-Modulated Poisson Process ,MMPP
 Memory Management Unit ,MMU
 Multiple Origin Ases ,MOAS
 Multi-Party Computation ,MPC
 Minimum Run Time ,MRT
 Minimum Runtime ,MRT
 Minimal Set-Cover Problem ,MSCP
 Mean Squared Error ,MSE
 Memory Technology Device ,MTD
 Move To Privileged Register ,MTPR
 Mail Viewer Agent ,MVA
 Network Access Code ,NAC
 North-American Numbering Plan ,NANP
 Network-Attached Storage ,NAS
 Network Address Translation ,NAT
 Network Allocation Vector ,NAV
 Netware Core Protocol ,NCP
 No-Combine Semantics ,NCS
 Netware Directory Service ,NDS
 National Endowment For Democracy ,NED
 Non Deterministic Finite Automaton ,NFA
 Nondeterministic Finite Automata ,NFA
 Nondeterministic Finite Automaton ,NFA
 Nondeterministic Finite-State Automata ,NFA
 Network Functions Virtualization ,NFV
 Nongovernmental Organization ,NGO
 National Highway Transportation Safety Administration ,NHTSA
 Network Idss ,NIDS
 Network Intrusion-Detection System ,NIDS
 Network Intrusion-Detection Systems ,NIDS
 National Institute Of Standards And Technology ,NIST
 Non-Interactive Zero-Knowledge ,NIZK
 Nonlinear Feedback Shift-Register ,NLFSR
 Natural-Language Processing ,NLP
 National Science Foundation ,NSF
 National Software Reference Library ,NSRL
 Network Time Protocol ,NTP
 Nonuniform Memory-Access ,NUMA
 On-Line Certificate Status Protocol ,OCSP
 Object Data-Management ,ODM
 Output Description Table ,ODT
 Output Description Tables ,ODT
 On-Line Agent ,OLA
 Object-Oriented Programming ,OOP
 Out-Of-Order Packet Processing ,OOPP
 Outsourced Oblivious-Transfer ,OOT
 Oblivious Prf ,OPRF
 Oblivious Pseudo-Random Function ,OPRF
 Oblivious-Ram ,ORAM
 Operating-System,OS
 Opened Verifiable Choice ,OVC
 Polymorphic Blending Attack ,PBA
 Portable Circuit Format ,PCF
 Probabilistic Context-Free Grammar ,PCFG
 Pci-X Cryptographic Co-Processor ,PCIXCC
 Pulse Code Modulation ,PCM
 Packet Data Protocol ,PDP
 Policy-Enforcement Points ,PEP
 Private Equality Test ,PEQT
 Priority Flow-Control ,PFC
 Priority-Based Flow-Control ,PFC
 Perfect Forward-Secrecy ,PFS
 Probabilistic Finite-State Automaton ,PFSA
 Picture Gesture Authentication ,PGA
 Profile-Guided Optimizations ,PGO
 Pretty Good Privacy ,PGP
 Process Identifier ,PID
 Process-Id ,PID
 Program Integrity Dominates System Integrity ,PIDSI
 Personal Identification Number ,PIN
 Privacy Integrated Queries ,PINQ
 Public-Key Cryptography ,PKC
 Public-Key Cryptography Standard ,PKCS
 Public-Key Cryptography Standards ,PKCS
 Public-Key Distributed-Authentication ,PKDA
 Public-Key Infrastructure Using X.509 ,PKIX
 Probabilistic Neural Networks ,PNN
 Part-Of-Speech ,POS
 Parts Of Speech ,POS
 Pay-Per-Install ,PPI
 Parma Polyhedral Library ,PPL
 Pay-Per-View ,PPV
 Pseudo-Random Function ,PRF
 Pseudo-Random Functions ,PRF
 Pseudo-Random Generator ,PRG
 Partial-Response Maximum-Likelihood ,PRML
 Pseudo-Random Number Generator ,PRNG
 Pseudo-Random Number Generators ,PRNG
 Pre-Rendered User-Interface ,PRUI
 Propensity Score Matching ,PSM
 Pairwise Transient Key ,PTK
 Preboot Execution Environment ,PXE
 Privileged Execute-Never ,PXN
 Quality-Of-Protection ,QOP
 Random-Access Memory ,RAM
 Role-Based Access-Control ,RBAC
 Reserve Bank Of India ,RBI
 Recursive Dns ,RDNS
 Remote Desktop Protocol ,RDP
 Radio-Frequency Identification ,RFID
 Radio-Frequency Identifier ,RFID
 Rijnland Internet Election System ,RIES
 Run-Length-Limited ,RLL
 Remote Management Card ,RMC
 Root-Mean-Square Error ,RMSE
 Return-Oriented Programing ,ROP
 Return-Oriented Programming ,ROP
 Real-Time Clock ,RTC
 Rtp Control Protocol ,RTCP
 Real-Time Messaging Protocol ,RTMP
 Real-Time Transport Protocol ,RTP
 Request To Send ,RTS
 Round-Trip Time ,RTT
 Security Assertion Markup Language ,SAML
 Statistical Scan Anomaly-Detection Engine ,SCADE
 System Control Board ,SCB
 Software Developer Kit ,SDK
 Secure Software-Development Life-Cycle ,SDLC
 Software-Defined Networking ,SDN
 Software-Defined Radio ,SDR
 Secure Distributed Virtual Conferencing ,SDVC
 Single-Entry Single Successor ,SESS
 Secure Function Evaluation ,SFE
 Symbolic Finite Transducer ,SFT
 System Identifier ,SID
 Short Inter-Frame Space ,SIFS
 Scale-Invariant Feature Transforms ,SIFT
 Serial Interception Sequence Learning ,SISL
 Session-Key Disclosure ,SKD
 Session-Key Negotiation ,SKN
 Service-Level Agreement ,SLA
 Service-Level Agreements ,SLA
 Statistical Payload Anomaly-Detection Engine ,SLADE
 Samba ,SMB
 Scalable Multicast Key-Distribution ,SMKD
 Sequential Minimal Optimization ,SMO
 Short Message Service ,SMS
 Short Message Service Center ,SMSC
 Simple Mail Transport Protocol ,SMTP
 Succinct Non-Interactive Argument Of Knowledge ,SNARK
 Server-Name Indication ,SNI
 Single Nucleotide Polymorphism ,SNP
 Signal-To-Noise Ratio ,SNR
 Simple Object Access Protocol ,SOAP
 Single-Origin As ,SOAS
 Security-Policy Database ,SPD
 Squared Prediction Error ,SPE
 Sender Policy Framework ,SPF
 Simple Public-Key Infrastructure ,SPKI
 Synchronized Random Dynamic ,SRD
 Single Root I/O Virtualization ,SRIOV
 Storage Root-Key ,SRK
 Secure Real-Time Transport Protocol ,SRTP
 Secure Shell ,SSH
 Source Security Id ,SSID
 Secure Socket Layer,SSL
 Secure Sockets Layer,SSL
 Single Sign-On ,SSO
 Static Taint-Analysis ,STA
 Short-Time Energy ,STE
 Short-Time Fourier Transform ,STFT
 System Usability Scale ,SUS
 Singular Value Decomposition ,SVD
 Storage Virtualization Layer ,SVL
 Support Vector Machine ,SVM
 Scantegrity Voting System Team ,SVST
 System Verification Testing ,SVT
 Secure Wireless Gateway ,SWG
 Stepwise Linear Discriminant Analysis ,SWLDA
 Type Allocation Code ,TAC
 Time And Remanence Decay In Sram ,TARDIS
 Topology-Based Geo-Location ,TBG
Transmission Control Protocol,TCP
 Trusted Computing Platform Alliance ,TCPA
 Time Division Multiple Access ,TDMA
 Thread Environment Block ,TEB
 Translation Look-Aside Buffer ,TLB
 Transport-Layer Security,TLS
 Time-Of-Check To Time-Of-Use ,TOCTTOU
 Time-Of-Check-To-Time-Of-Use ,TOCTTOU
 Trust-On-First-Use ,TOFU
 Two-Party Computation ,TPC
 Trusted Platform Model ,TPM
 Trusted Platform Module ,TPM
 Tire Pressure Monitoring System ,TPMS
 Tire Pressure Monitoring Systems ,TPMS
 Transportation Security Administration ,TSA
 Type-Safe Disk ,TSD
 Type-Safe Disks ,TSD
 Target Security Id ,TSID
 Targeted Threat Index ,TTI
 Trusted Third-Party ,TTP
 Therapeutic Range ,TTR
 Text-To-Speech ,TTS
 Upper Atmospheric Research Collaboratory ,UARC
 Unsorted Block Images ,UBI
 User Data Header ,UDH
 Unique Device Identifier ,UDID
 User Datagram Protocol ,UDP
 Uncoordinated Dsss ,UDSSS
 Uncoordinated Frequency Hopping ,UFH
 User-Interface ,UI
 User-Interface Automation/Accessibility ,UIA
 Uia Manager ,UIAM
 Url-Ip Cluster ,UIC
 Unique Identifier ,UID
 User Identification ,UID
 User Identifier ,UID
 User-Id ,UID
 User-Input Privacy ,UIP
Uniform Resource Locator,URL
 Unlimited Register Machine ,URM
 Universal Software Radio Peripheral ,USRP
 User-Space Security Server ,USSS
 Universally Unique Identifier ,UUID
 Usb Video Class ,UVC
 Variable Bit-Rate ,VBR
 Veris Community Database ,VCDB
 Virtual Ethernet Bridge ,VEB
 Virtual Edge Port Aggregator ,VEPA
 Virtual Function Table ,VFT
 Vendor Id ,VID
 Virtually Indexed ,VIVT
 Very Large-Scale Integration ,VLSI
Virtual-Machine,VM
 Vmware Communication Interface ,VMCI
 Virtual-Machine Introspection ,VMI
 Virtual-Machine Monitor ,VMM
 Virtual-Machine Monitors ,VMM
 Virtual-Machine Operating-System ,VMOS
 Virtual Private Networks ,VPN
 Virtual-Private-Network ,VPN
 Verifiable Secret-Sharing ,VSS
 Virtual Size ,VSZ
 Virtual-Table Verification ,VTV
 Wide-Area Network ,WAN
 Windows Error Reporting ,WER
 Website Fingerprinting ,WF
 Web Hacking Incidents Database ,WHID
 Worldwide Intelligence Network Environment ,WINE
 Wireless Lan ,WLAN
 Weighted Minimal Common Supergraph ,WMCS
 Weighted Minimal Set-Cover Problem ,WMSCP
 Worcester Polytechnic Institute ,WPI
 Wrapper Support Subsystem ,WSS
 World Uyghur Congress ,WUC
 World-Wide-Web ,WWW
 Extensible Access-Control Markup Language ,XACML
 Cross-Channel Scripting ,XCS
 Cross-Domain Method Invocation ,XMI
 Extensible Markup Language ,XML
 Extensible Messaging And Presence Protocol ,XMPP
 Execute-Only Memory ,XOM
 Exclusive-Or ,XOR
 Exclusive Page Frame Ownership ,XPFO
 Cross-Site Request Forgery ,XSRF
 Cross-Site Scripting ,XSS
 Cross-Site Script Inclusion ,XSSI
 Xml Signature Wrapping ,XSW
 Zhubajie ,ZBJ
 Zero-Knowledge ,ZK
 Zero-Knowledge Proof ,ZKP
 Zero-Knowledge Proofs ,ZKP
 Zero-Knowledge Proofs-Of-Knowledge ,ZKPK
 Software Fault-Isolation ,SFI
 Software-Based Fault-Isolation ,SFI
 Software-Fault Isolation ,SFI
 False Reject Rate ,FRR
 False Rejection Rate ,FRR
 Decision Diffie-Hellman ,DDH
 Decisional Diffie-Hellman ,DDH
 Voter Verified Paper Audit Trail ,VVPAT
 Voter-Verifiable Paper Audit Trail ,VVPAT
 In-Line Reference Monitors ,IRM
 Inlined Reference Monitors ,IRM
 Human Intelligence Task ,HIT
 Human Interactive Task ,HIT
 State-Based Cfi ,SBCFI
 State-Based Control-Flow Integrity ,SBCFI
 General-Purpose I/O ,GPIO
 General-Purpose Input/Output ,GPIO
 Last Branch Record ,LBR
 Last Branch Recording ,LBR
 Dns Security ,DNSSEC
 Domain-Name System Security ,DNSSEC
 Amazon Web Service ,AWS
 Amazon Web Services ,AWS
 Complementary Cdf ,CCDF
 Complementary Cumulative Distribution Function ,CCDF
 Receive Signal Strength Indication ,RSSI
 Received Signal Strength Indication ,RSSI
 Maximal Transfer Unit ,MTU
 Maximum Transmission Unit ,MTU
 Phase Lock Loop ,PLL
 Phase-Locked Loop ,PLL
 North America Networks Operators Group ,NANOG
 North-American Network Operators Group ,NANOG
 Model-Inference-Assisted Concolic Concrete And Symbolic Exploration ,MACE
 Model-Inference-Assisted Concolic Exploration ,MACE
 Lucent Personal Web Assistant ,LPWA
 Lucent Personalized Web Assistant ,LPWA
 Portable Document Format ,PDF
 Multipurpose Internet Mail Extensions ,MIME
 Wireless Application-Protocol ,WAP
 Wired Equivalency Protocol ,WEP
 Wired Equivalent Privacy ,WEP
 Global System For Mobile Communications ,GSM
 Ternary Content Addressable Memory ,TCAM
